beta,SBP_sd,sample,sim,SBP_GOOD_mean,SBP_GOOD_sd,SBP_BAD_mean,SBP_BAD_sd,p,noise,SBP_NRD_Good_mean,SBP_NRD_Good_sd,SBP_NRD_Bad_mean,SBP_NRD_Bad_sd
0,NA,25,1,NA,NA,NA,NA,0.905140899662701,4,105.89,4.1,105.67,4.29
0,NA,25,2,NA,NA,NA,NA,0.772548069880067,4,105.63,3.6,105.11,5.27
0,NA,25,3,NA,NA,NA,NA,0.0795697864048005,4,105.52,4.53,102.69,2.33
0,NA,25,4,NA,NA,NA,NA,0.275029724683904,4,104,3.24,105.47,3.14
0,NA,25,5,NA,NA,NA,NA,0.58618791572671,4,104.5,4.15,105.33,3.29
0,NA,25,6,NA,NA,NA,NA,0.0439372450609688,4,102.47,4.3,106.28,3.9
0,NA,25,7,NA,NA,NA,NA,0.313862435300931,4,103.43,3.92,105.24,4.88
0,NA,25,8,NA,NA,NA,NA,0.1105254820826,4,107.26,2.25,104.91,4.63
0,NA,25,9,NA,NA,NA,NA,0.977168039241052,4,106.49,3.89,106.54,3.82
0,NA,25,10,NA,NA,NA,NA,0.0591043853083108,4,105.63,5,109.28,3.76
0,NA,25,11,NA,NA,NA,NA,0.8707775580734,4,105.07,5.02,104.74,4
0,NA,25,12,NA,NA,NA,NA,0.652347228666247,4,105.11,4.81,105.96,3.54
0,NA,25,13,NA,NA,NA,NA,0.0296732177075558,4,108.2,4.09,104.31,3.43
0,NA,25,14,NA,NA,NA,NA,0.155753653219297,4,107.55,3.28,105.41,3.92
0,NA,25,15,NA,NA,NA,NA,0.692412864768157,4,105.81,2.96,106.4,4.38
0,NA,25,16,NA,NA,NA,NA,0.337413381970428,4,103.53,3.72,105.18,4.48
0,NA,25,17,NA,NA,NA,NA,0.578506002272973,4,104.23,3.15,103.37,3.24
0,NA,25,18,NA,NA,NA,NA,0.909068224846453,4,106.21,4.18,106.03,3.57
0,NA,25,19,NA,NA,NA,NA,0.462698006806114,4,105.03,5.8,106.43,3.3
0,NA,25,20,NA,NA,NA,NA,0.648029725302487,4,105.72,4.93,104.93,3.66
0,NA,25,21,NA,NA,NA,NA,0.594665748173565,4,106.52,3.79,105.63,4.38
0,NA,25,22,NA,NA,NA,NA,0.728437841818784,4,106.07,4.98,105.38,4.07
0,NA,25,23,NA,NA,NA,NA,0.440957207127968,4,105.89,3.51,104.69,4.13
0,NA,25,24,NA,NA,NA,NA,0.687558972658319,4,107.23,1.95,106.8,3.2
0,NA,25,25,NA,NA,NA,NA,0.50503597227394,4,104.05,3.41,105.42,3.88
0,NA,25,26,NA,NA,NA,NA,0.988378359301492,4,104.28,4.3,104.26,3.24
0,NA,25,27,NA,NA,NA,NA,0.414061063090097,4,105.55,2.73,104.41,4.04
0,NA,25,28,NA,NA,NA,NA,0.103445934317232,4,105.19,3.13,107.24,2.88
0,NA,25,29,NA,NA,NA,NA,0.729958434258672,4,105.92,2.74,106.4,4.12
0,NA,25,30,NA,NA,NA,NA,0.117853497621184,4,104.56,4.1,107.54,4.36
0,NA,25,31,NA,NA,NA,NA,0.502881251956566,4,105.4,4.51,106.75,5.29
0,NA,25,32,NA,NA,NA,NA,0.256808996533423,4,105.8,4.12,104.13,2.56
0,NA,25,33,NA,NA,NA,NA,0.252036762843486,4,103.32,4.41,105.48,3.64
0,NA,25,34,NA,NA,NA,NA,0.269653603285337,4,106.78,4.69,104.77,4.14
0,NA,25,35,NA,NA,NA,NA,0.712269184323026,4,106.77,3.62,106.22,2.81
0,NA,25,36,NA,NA,NA,NA,0.702597028717445,4,105.44,6.44,106.38,4.11
0,NA,25,37,NA,NA,NA,NA,0.711091818032622,4,104.5,4.04,105.18,3.85
0,NA,25,38,NA,NA,NA,NA,0.0334908409233202,4,104.74,2.05,107.33,3.37
0,NA,25,39,NA,NA,NA,NA,0.827326858053372,4,106.34,4.28,106.67,2.67
0,NA,25,40,NA,NA,NA,NA,0.989727774899058,4,106.58,5.76,106.55,4.09
0,NA,25,41,NA,NA,NA,NA,0.208850222921229,4,105.94,2.54,103.77,5.18
0,NA,25,42,NA,NA,NA,NA,0.619068380504791,4,106.94,6.93,105.51,3.54
