County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
Madison County,16065,62,33225,"3,142"
Latah County,16057,42.2,17032,"3,106"
Elmore County,16039,35.6,10349,"3,007"
Bannock County,16005,30.9,27363,"2,755"
Clark County,16033,30.5,237,"2,713"
Ada County,16001,30,152186,"2,645"
Canyon County,16027,29.8,72194,"2,610"
Lincoln County,16063,29.2,1539,"2,501"
Bonneville County,16019,29,36808,"2,463"
Twin Falls County,16083,28.9,26577,"2,441"
Cassia County,16031,28,7043,"2,265"
Franklin County,16041,27.5,4046,"2,138"
Nez Perce County,16069,27.4,11623,"2,110"
Teton County,16081,27.3,3301,"2,077"
Jefferson County,16051,27.1,8724,"2,029"
Jerome County,16053,27,6696,"2,002"
Minidoka County,16067,26.9,5904,"1,965"
Owyhee County,16073,26.9,3308,"1,965"
Power County,16077,26.7,2141,"1,897"
Bingham County,16011,26.5,12978,"1,822"
Kootenai County,16055,26.2,46505,"1,709"
Fremont County,16043,26,3559,"1,631"
Caribou County,16029,25.5,1818,"1,454"
Payette County,16075,25.5,6670,"1,454"
Butte County,16023,24.9,661,"1,229"
Blaine County,16013,24.5,6026,"1,089"
Gooding County,16047,24.3,3827,"1,027"
Washington County,16087,23.9,2593,909
Camas County,16025,23.6,273,817
Gem County,16045,23.5,4657,786
Oneida County,16071,23.1,1080,679
Shoshone County,16079,23.1,3134,679
Boundary County,16021,23,2920,651
Bear Lake County,16007,22.6,1480,545
Valley County,16085,22.3,2708,482
Benewah County,16009,21.8,2158,394
Idaho County,16049,21.2,3629,302
Bonner County,16017,20.9,10323,263
Clearwater County,16035,20.9,1861,263
Boise County,16015,19.7,1581,149
Lemhi County,16059,19.4,1585,125
Lewis County,16061,18.4,671,76
Adams County,16003,18.3,842,71
Custer County,16037,12.1,534,6
