Poverty (Families below poverty) for Idaho by County,,,,
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023",,,,
Sorted by Value,,,,
,,,,
County,FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3143 counties)
Butte County,16023,19.1,111,"2,957"
Boundary County,16021,16.4,557,"2,784"
Madison County,16065,13.3,1274,"2,455"
Jerome County,16053,12.6,795,"2,341"
Lewis County,16061,12.3,118,"2,288"
Adams County,16003,11.2,134,"2,077"
Washington County,16087,11.1,316,"2,047"
Benewah County,16009,10.8,294,"1,985"
Minidoka County,16067,10.6,607,"1,933"
Shoshone County,16079,10.1,312,"1,830"
Oneida County,16071,9.7,135,"1,757"
Gooding County,16047,9.5,345,"1,694"
Lemhi County,16059,9.4,175,"1,665"
Clark County,16033,9.1,12,"1,580"
Nez Perce County,16069,8.8,968,"1,489"
Elmore County,16039,8.2,565,"1,292"
Clearwater County,16035,8,181,"1,231"
Latah County,16057,8,734,"1,231"
Twin Falls County,16083,8,1881,"1,231"
Owyhee County,16073,7.9,236,"1,205"
Idaho County,16049,7.8,353,"1,175"
Bannock County,16005,7.6,1599,"1,110"
Bonner County,16017,7.5,990,"1,082"
Caribou County,16029,7.4,123,"1,055"
Jefferson County,16051,7.4,595,"1,055"
Bingham County,16011,7.3,895,"1,022"
Canyon County,16027,7.3,4447,"1,022"
Payette County,16075,7.3,489,"1,022"
Gem County,16045,6.9,372,890
Cassia County,16031,6.8,423,865
Fremont County,16043,6.7,229,833
Teton County,16081,6.7,187,833
Power County,16077,6.5,136,777
Bonneville County,16019,6.4,1917,755
Valley County,16085,6.2,168,691
Kootenai County,16055,6,2847,637
Bear Lake County,16007,5.6,92,533
Ada County,16001,5.5,7194,501
Lincoln County,16063,5.5,73,501
Franklin County,16041,5.4,202,476
Blaine County,16013,5.1,320,412
Custer County,16037,4.9,61,358
Boise County,16015,4.2,102,215
Camas County,16025,2.5,5,38
